Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater 2+2,18:00,02:30,08h 30m,450,22 Seats available,"3.7
40",Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,02:30,07h 30m,420,18 Seats available,"3.0
56",Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Atmaram Travels (Dolphin),A/C Sleeper (2+1),16:15,20:30,04h 15m,699,7 Seats available,"4.4
23",Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Atmaram Travels (Dolphin),A/C Sleeper (2+1),16:15,21:45,05h 30m,700,23 Seats available,3.9,Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
IntrCity SmartBus,AC Sleeper (2+1),16:15,21:45,05h 30m,609,13 Seats available,"4.5
139",Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Zingbus Plus,AC Sleeper (2+1),16:20,21:45,05h 25m,528,11 Seats available,"4.6
13",Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Atmaram Travels (Dolphin),A/C Sleeper (2+1),16:20,21:44,05h 24m,690,12 Seats available,"3.2
20",Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
IntrCity SmartBus,AC Sleeper (2+1),16:40,22:45,06h 05m,609,25 Seats available,"4.5
35",Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
PSR Travels Goa,A/C Sleeper (2+1),18:30,01:15,06h 45m,649,19 Seats available,3.5,Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,01:30,06h 30m,599,9 Seats available,"4.3
9",Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
"National Travels,Goa",NON A/C Sleeper (2+1),19:00,01:45,06h 45m,700,14 Seats available,3.9,Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,01:30,05h 30m,500,10 Seats available,"4.4
40",Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
